time,type
2018/6/26,CREATION
2018/6/26,CANCEL_BID
2018/6/27,BID
2018/6/27,SALE_PRICE_SET
2018/6/27,BID
2018/6/27,ACCEPT_BID
2018/6/27,BID
2018/6/27,CREATION
2018/6/27,BID
2018/6/28,ACCEPT_BID
2018/6/28,SALE_PRICE_SET
2018/6/28,CREATION
2018/6/28,ACCEPT_BID
2018/6/29,BID
2018/6/29,ACCEPT_BID
2018/6/29,SALE_PRICE_SET
2018/6/29,CREATION
2018/6/30,CANCEL_BID
2018/6/30,SALE_PRICE_SET
2018/6/30,CREATION
2018/6/30,ACCEPT_BID
2018/6/30,BID
2018/6/30,CREATION
2018/7/1,ACCEPT_BID
2018/7/1,SALE_PRICE_SET
2018/7/1,SALE_PRICE_SET
2018/7/1,SALE_PRICE_SET
2018/7/1,CREATION
2018/7/2,SALE_PRICE_SET
2018/7/2,CREATION
2018/7/2,CREATION
2018/7/4,SALE_PRICE_SET
2018/7/5,ACCEPT_BID
2018/7/5,BID
2018/7/5,SALE_PRICE_SET
2018/7/5,CREATION
2018/7/6,SALE_PRICE_SET
2018/7/6,CREATION
2018/7/7,CREATION
2018/7/7,CREATION
2018/7/8,CANCEL_BID
2018/7/8,TRANSFER
2018/7/9,SALE_PRICE_SET
2018/7/9,SALE_PRICE_SET
2018/7/9,CREATION
2018/7/9,CREATION
2018/7/9,CREATION
2018/7/10,ACCEPT_BID
2018/7/10,BID
2018/7/10,SALE
2018/7/11,BID
2018/7/11,BID
2018/7/11,SALE_PRICE_SET
2018/7/11,CREATION
2018/7/11,BID
2018/7/12,BID
2018/7/12,SALE_PRICE_SET
2018/7/12,CANCEL_BID
2018/7/12,CREATION
2018/7/12,SALE
2018/7/12,SALE
2018/7/12,SALE_PRICE_SET
2018/7/13,SALE_PRICE_SET
2018/7/15,BID
2018/7/15,CANCEL_BID
2018/7/15,SALE_PRICE_SET
2018/7/15,SALE_PRICE_SET
2018/7/16,BID
2018/7/16,BID
2018/7/16,BID
2018/7/16,CREATION
2018/7/16,CREATION
2018/7/16,CREATION
2018/7/16,CREATION
2018/7/16,CREATION
2018/7/16,CREATION
2018/7/16,CREATION
2018/7/16,CREATION
2018/7/16,CREATION
2018/7/16,CREATION
2018/7/16,CREATION
2018/7/16,CREATION
2018/7/16,CREATION
2018/7/16,CREATION
2018/7/16,CREATION
2018/7/16,CREATION
2018/7/17,ACCEPT_BID
2018/7/17,SALE_PRICE_SET
2018/7/17,SALE_PRICE_SET
2018/7/17,SALE_PRICE_SET
2018/7/17,SALE_PRICE_SET
2018/7/17,SALE_PRICE_SET
2018/7/17,SALE_PRICE_SET
2018/7/17,SALE_PRICE_SET
2018/7/17,SALE_PRICE_SET
2018/7/17,SALE_PRICE_SET
2018/7/17,SALE_PRICE_SET
2018/7/17,SALE_PRICE_SET
2018/7/17,ACCEPT_BID
2018/7/17,SALE_PRICE_SET
2018/7/17,TRANSFER
2018/7/17,TRANSFER
2018/7/17,TRANSFER
2018/7/17,TRANSFER
2018/7/17,TRANSFER
2018/7/17,TRANSFER
2018/7/17,TRANSFER
2018/7/17,TRANSFER
2018/7/17,TRANSFER
2018/7/17,TRANSFER
2018/7/17,TRANSFER
2018/7/17,TRANSFER
2018/7/17,TRANSFER
2018/7/17,TRANSFER
2018/7/17,TRANSFER
2018/7/17,TRANSFER
2018/7/17,TRANSFER
2018/7/17,TRANSFER
2018/7/17,TRANSFER
2018/7/17,CREATION
2018/7/17,TRANSFER
2018/7/17,CREATION
2018/7/17,CREATION
2018/7/17,TRANSFER
2018/7/17,TRANSFER
2018/7/17,TRANSFER
2018/7/17,CREATION
2018/7/17,TRANSFER
2018/7/17,CREATION
2018/7/17,TRANSFER
2018/7/17,CREATION
2018/7/17,TRANSFER
2018/7/17,CREATION
2018/7/17,CREATION
2018/7/17,TRANSFER
2018/7/17,TRANSFER
2018/7/17,CREATION
2018/7/17,CREATION
2018/7/17,TRANSFER
2018/7/17,TRANSFER
2018/7/17,CREATION
2018/7/17,TRANSFER
2018/7/17,CREATION
2018/7/17,TRANSFER
2018/7/17,CREATION
2018/7/17,TRANSFER
2018/7/17,CREATION
2018/7/17,SALE_PRICE_SET
2018/7/17,CREATION
2018/7/17,SALE_PRICE_SET
2018/7/17,CREATION
2018/7/17,SALE_PRICE_SET
2018/7/17,CREATION
2018/7/17,SALE_PRICE_SET
2018/7/17,CREATION
2018/7/17,SALE_PRICE_SET
2018/7/17,CREATION
2018/7/17,SALE_PRICE_SET
2018/7/17,CREATION
2018/7/17,SALE_PRICE_SET
2018/7/17,SALE_PRICE_SET
2018/7/17,SALE
2018/7/18,TRANSFER
2018/7/18,CREATION
2018/7/18,CREATION
2018/7/19,SALE
2018/7/19,BID
2018/7/20,BID
2018/7/20,BID
2018/7/20,BID
2018/7/20,BID
2018/7/20,SALE
2018/7/20,SALE
2018/7/20,ACCEPT_BID
2018/7/20,BID
2018/7/20,SALE_PRICE_SET
2018/7/20,BID
2018/7/20,SALE_PRICE_SET
2018/7/20,CREATION
2018/7/20,BID
2018/7/20,BID
2018/7/20,BID
2018/7/20,CANCEL_BID
2018/7/20,BID
2018/7/21,SALE_PRICE_SET
2018/7/21,SALE_PRICE_SET
2018/7/21,ACCEPT_BID
2018/7/21,ACCEPT_BID
2018/7/21,BID
2018/7/21,BID
2018/7/21,ACCEPT_BID
2018/7/21,BID
2018/7/21,CANCEL_BID
2018/7/21,BID
2018/7/21,SALE_PRICE_SET
2018/7/21,CREATION
2018/7/21,SALE
2018/7/21,SALE
2018/7/22,BID
2018/7/22,CANCEL_BID
2018/7/22,BID
2018/7/22,SALE
2018/7/22,BID
2018/7/22,SALE_PRICE_SET
2018/7/23,SALE_PRICE_SET
2018/7/23,SALE_PRICE_SET
2018/7/23,SALE_PRICE_SET
2018/7/23,ACCEPT_BID
2018/7/23,SALE
2018/7/24,CANCEL_BID
2018/7/24,CANCEL_BID
2018/7/24,SALE_PRICE_SET
2018/7/24,SALE_PRICE_SET
2018/7/24,SALE_PRICE_SET
2018/7/24,BID
2018/7/24,BID
2018/7/24,CREATION
2018/7/24,CREATION
2018/7/24,CREATION
2018/7/24,CREATION
2018/7/24,CREATION
2018/7/24,CREATION
2018/7/24,CREATION
2018/7/24,CREATION
2018/7/24,CREATION
2018/7/24,CREATION
2018/7/24,CREATION
2018/7/24,CREATION
2018/7/24,CANCEL_BID
2018/7/25,BID
2018/7/25,BID
2018/7/25,BID
2018/7/25,BID
2018/7/25,SALE_PRICE_SET
2018/7/25,SALE_PRICE_SET
2018/7/25,BID
2018/7/25,SALE_PRICE_SET
2018/7/25,TRANSFER
2018/7/25,BID
2018/7/25,BID
2018/7/25,BID
2018/7/25,TRANSFER
2018/7/25,TRANSFER
2018/7/25,SALE_PRICE_SET
2018/7/25,CREATION
2018/7/25,SALE_PRICE_SET
2018/7/25,CREATION
2018/7/25,CREATION
2018/7/25,BID
2018/7/25,SALE_PRICE_SET
2018/7/25,SALE_PRICE_SET
2018/7/25,CREATION
2018/7/25,CREATION
